label,L_from,L_to,recall_gain_pp,delta_mean_comparisons,mean_comparisons_per_recall_pp,delta_mean_ios,mean_ios_per_recall_pp,delta_p50_us,p50_us_per_recall_pp,delta_p95_us,p95_us_per_recall_pp,delta_p99_us,p99_us_per_recall_pp
pq8,50,100,12.386000000000008,4564.0203,368.4821814952363,48.653200000000005,3.928080090424671,3041.5,245.55950266429824,4511.950000000001,364.2782173421603,5273.739999999994,425.7823348942347
pq8,100,150,5.993000000000004,4457.3321,743.7563991323206,49.228999999999985,8.214416819622885,3121.5,520.8576672784912,4713.149999999998,786.4425162689796,5092.9299999999985,849.8131153011839
pq8,150,200,3.4729999999999928,4387.733,1263.3841059602676,49.61760000000001,14.286668586236715,3249.5,935.6464152029965,4511.850000000002,1299.1217967175387,5045.060000000001,1452.6518859775445
pq8,200,300,3.8860000000000228,8568.370599999998,2204.9332475553133,99.3938,25.577406073082713,6253.5,1609.2382913021006,9432.149999999998,2427.2130725681786,9484.300000000007,2440.6330416880987
pq16,50,100,5.873000000000006,4533.2952,771.8874851013102,48.8889,8.324348714455976,3024.0,514.8986889153749,4597.0999999999985,782.7515750042556,5902.01,1004.9395538906851
pq16,100,150,1.6009999999999858,4413.4856,2756.7055590256336,49.343999999999994,30.820737039350675,3582.5,2237.663960025004,4959.950000000001,3098.0324797002154,4943.9299999999985,3088.026233604024
pq16,150,200,0.5960000000000076,4337.430700000003,7277.568288590515,49.65890000000002,83.32030201342178,2939.0,4931.208053691212,4842.950000000001,8125.755033556944,5471.879999999997,9181.006711409274
pq16,200,300,0.4349999999999965,8474.546499999997,19481.71609195417,99.4827,228.69586206896733,6595.0,15160.919540230007,9532.05,21912.75862068983,9955.210000000003,22885.54022988525
pq32,50,100,1.3219999999999898,4523.415499999999,3421.6456127080437,48.94579999999999,37.024054462935226,3260.0,2465.9606656581127,4788.950000000001,3622.503782148289,5775.959999999999,4369.107413010623
pq32,100,150,0.19000000000000128,4406.042200000002,23189.69578947354,49.423199999999994,260.12210526315613,3449.0,18152.631578947246,5190.0,27315.789473684028,5351.46000000001,28165.578947368285
pq32,150,200,0.06599999999999939,4320.357099999999,65459.95606060665,49.65620000000001,752.3666666666738,3143.0,47621.21212121256,4464.0,67636.36363636426,4937.759999999995,74814.54545454607
pq32,200,300,0.03500000000001835,8447.826000000001,241366.45714273062,99.50119999999998,2842.8914285699375,7270.5,207728.5714284625,9908.449999999993,283098.5714284228,10482.100000000002,299488.5714284145
exact,50,100,0.7709999999999773,4521.739699999999,5864.7726329444,48.996199999999995,63.54889753566983,3444.5,4467.574578469652,5102.0,6617.3800259405325,5948.9299999999985,7715.8625162129365
exact,100,150,0.10600000000000609,4400.364100000001,41512.86886792215,49.44579999999999,466.46981132072784,3667.0,34594.33962263952,5104.0999999999985,48151.88679245005,5555.9699999999975,52414.81132075168
exact,150,200,0.05300000000001415,4315.649800000001,81427.35471695942,49.64320000000001,936.6641509431463,3533.0,66660.37735847278,4904.9000000000015,92545.28301884326,4871.869999999999,91922.07547167355
exact,200,300,0.022999999999995246,8441.9683,367042.1000000759,99.52680000000001,4327.252173913938,7474.5,324978.26086963236,10364.05,450610.8695653105,10875.05,472828.2608696629
