phase,label,mode,repeat,L,queries,qps,run_wall_s,p50_us,p95_us,p99_us,mean_cpu_us,mean_io_us,mean_comparisons,mean_hops,mean_ios,mean_exact_nav_reads,ssd_bytes_per_query,nav_dram_bytes_per_query,touched_bytes_per_query,peak_rss_kib,process_elapsed
full,pq32,pq,1,50,10000,202.375,49.4133,4377.0,6796.149999999998,8651.120000000003,804.0449,3858.0147,6643.0962,17.0474,62.8464,0.0,257418.8544,0.0,257418.8544,60684,10:51.18
full,pq32,pq,1,100,10000,116.198,86.06,7692.0,11583.05,14427.080000000002,1404.5488,6732.079,11166.5117,29.0316,111.7922,0.0,457900.8512,0.0,457900.8512,60684,10:51.18
full,pq32,pq,1,150,10000,81.7997,122.25,11141.0,16276.0,19778.54000000001,2034.4045,9583.9247,15572.5539,41.57,161.2154,0.0,660338.2784,0.0,660338.2784,60684,10:51.18
full,pq32,pq,1,200,10000,63.0932,158.496,14240.0,21239.1,24716.300000000007,2550.1338,12481.576,19892.911,53.7368,210.8716,0.0,863730.0736,0.0,863730.0736,60684,10:51.18
full,pq32,pq,1,300,10000,42.7488,233.925,21554.5,31133.149999999998,35198.40000000001,3805.9495,18478.4714,28340.737,78.5799,310.3728,0.0,1271286.9888,0.0,1271286.9888,60684,10:51.18
full,pq32,pq,2,50,10000,201.114,49.723,4432.0,6706.049999999999,8086.400000000009,809.7887,3883.243,6643.0962,17.0474,62.8464,0.0,257418.8544,0.0,257418.8544,60688,10:48.30
full,pq32,pq,2,100,10000,117.977,84.7623,7579.0,11585.099999999999,14280.01,1378.1605,6629.9337,11166.5117,29.0316,111.7922,0.0,457900.8512,0.0,457900.8512,60688,10:48.30
full,pq32,pq,2,150,10000,81.4488,122.776,11061.0,16775.1,19766.220000000005,2036.7992,9632.1738,15572.5539,41.57,161.2154,0.0,660338.2784,0.0,660338.2784,60688,10:48.30
full,pq32,pq,2,200,10000,63.2172,158.185,14284.0,21168.249999999996,24656.190000000002,2558.9398,12431.9566,19892.911,53.7368,210.8716,0.0,863730.0736,0.0,863730.0736,60688,10:48.30
full,pq32,pq,2,300,10000,43.1248,231.885,21329.5,31147.549999999992,35568.350000000006,3764.9429,18319.2999,28340.737,78.5799,310.3728,0.0,1271286.9888,0.0,1271286.9888,60688,10:48.30
full,pq32,pq,3,50,10000,193.587,51.6565,4643.0,6846.049999999999,9216.44000000001,850.72,4025.8515,6643.0962,17.0474,62.8464,0.0,257418.8544,0.0,257418.8544,60680,11:14.26
full,pq32,pq,3,100,10000,112.454,88.9256,8028.0,11788.05,14788.250000000005,1465.4499,6948.6948,11166.5117,29.0316,111.7922,0.0,457900.8512,0.0,457900.8512,60680,11:14.26
full,pq32,pq,3,150,10000,78.283,127.742,11662.0,16954.149999999998,20180.07,2144.929,10007.7671,15572.5539,41.57,161.2154,0.0,660338.2784,0.0,660338.2784,60680,11:14.26
full,pq32,pq,3,200,10000,60.4347,165.468,15059.0,21989.499999999993,25329.160000000003,2720.5749,12982.8722,19892.911,53.7368,210.8716,0.0,863730.0736,0.0,863730.0736,60680,11:14.26
