phase,label,mode,repeat,L,queries,qps,run_wall_s,p50_us,p95_us,p99_us,mean_cpu_us,mean_io_us,mean_comparisons,mean_hops,mean_ios,mean_exact_nav_reads,ssd_bytes_per_query,nav_dram_bytes_per_query,touched_bytes_per_query,peak_rss_kib,process_elapsed
canary,pq16,pq,2,50,1000,188.807,5.29641,4697.0,6975.2,9213.04,710.139,4294.652,6770.951,17.207,63.294,0.0,259252.224,0.0,259252.224,25088,1:06.23
canary,pq16,pq,2,100,1000,112.649,8.87713,7921.5,11669.2,14967.789999999999,1185.74,7205.51,11345.314,29.176,112.084,0.0,459096.064,0.0,459096.064,25088,1:06.23
canary,pq16,pq,2,150,1000,82.0844,12.1826,11137.5,16040.399999999998,18730.6,1659.532,9904.854,15802.576,41.636,161.39,0.0,661053.44,0.0,661053.44,25088,1:06.23
canary,pq16,pq,2,200,1000,63.4922,15.75,14289.0,21030.5,24429.889999999996,2062.297,12850.485,20186.268,53.824,211.046,0.0,864444.416,0.0,864444.416,25088,1:06.23
canary,pq16,pq,2,300,1000,42.9723,23.2708,21312.5,30591.299999999996,35531.0,3095.169,19053.931,28747.945,78.659,310.519,0.0,1271885.824,0.0,1271885.824,25088,1:06.23
