phase,label,mode,repeat,L,queries,qps,run_wall_s,p50_us,p95_us,p99_us,mean_cpu_us,mean_io_us,mean_comparisons,mean_hops,mean_ios,mean_exact_nav_reads,ssd_bytes_per_query,nav_dram_bytes_per_query,touched_bytes_per_query,peak_rss_kib,process_elapsed
canary,exact,exact,2,50,1000,168.452,5.93641,5354.0,7529.999999999999,14777.739999999996,1222.822,4411.35,6652.364,16.925,62.471,3999.144,255881.216,2047561.728,2303442.9439999997,524160,1:13.97
canary,exact,exact,2,100,1000,106.699,9.37212,8583.5,12175.499999999998,14522.949999999999,2032.729,6867.637,11224.658,28.912,111.473,7135.272,456593.408,3653259.264,4109852.672,524160,1:13.97
canary,exact,exact,2,150,1000,72.255,13.8399,12792.0,17844.6,21056.809999999998,3029.624,10195.726,15673.885,41.49,160.934,10300.776,659185.664,5273997.312,5933182.976,524160,1:13.97
canary,exact,exact,2,200,1000,56.8956,17.576,16204.5,22730.399999999998,25746.57,3812.477,12928.955,20030.839,53.631,210.568,13477.352,862486.528,6900404.224,7762890.752,524160,1:13.97
canary,exact,exact,2,300,1000,38.5242,25.9577,24053.5,33459.0,37385.88,5586.96,19243.486,28550.995,78.49,310.102,19847.528,1270177.792,10161934.336,11432112.127999999,524160,1:13.97
