standalone_allocated_bytes	mtime_utc	path
14130737152	2026-07-17T11:57:46Z	/home/ubuntu/pz/VectorDB/data/VectorDB/dynamic_vamana_atlas/formal/pilot3_sift10m_w1_cp20_trajectory_r13/DGAI/trajectory-cp20-13/index
1696313344	2026-07-15T12:22:49Z	/home/ubuntu/pz/VectorDB/data/VectorDB/dynamic_vamana_atlas/formal/pilot3_w1_micro/OdinANN/attempt-03/index
848158720	2026-07-13T13:57:20Z	/home/ubuntu/pz/VectorDB/data/VectorDB/dynamic_vamana_atlas/formal/pilot3_w1_micro/OdinANN/attempt-01/index
1696313344	2026-07-15T12:23:27Z	/home/ubuntu/pz/VectorDB/data/VectorDB/dynamic_vamana_atlas/formal/pilot3_w1_micro/OdinANN/attempt-04/index
1415081984	2026-07-13T14:03:39Z	/home/ubuntu/pz/VectorDB/data/VectorDB/dynamic_vamana_atlas/formal/pilot3_w1_micro/DGAI/attempt-01/index
1415102464	2026-07-13T14:03:39Z	/home/ubuntu/pz/VectorDB/data/VectorDB/dynamic_vamana_atlas/formal/pilot3_w1_micro/DGAI/attempt-02/index
1696342016	2026-07-15T12:57:07Z	/home/ubuntu/pz/VectorDB/data/VectorDB/dynamic_vamana_atlas/formal/pilot3_w1_formal_path_replay_r05/OdinANN/replay-01/index
1415176192	2026-07-13T14:03:39Z	/home/ubuntu/pz/VectorDB/data/VectorDB/dynamic_vamana_atlas/formal/pilot3_w1_formal_path_replay_r05/DGAI/replay-01/index
1415081984	2026-07-16T18:15:22Z	/home/ubuntu/pz/VectorDB/data/VectorDB/dynamic_vamana_atlas/formal/pilot3_w1_cp05_trajectory_replay_r04/DGAI/sequential-cp80-04/index
16960315392	2026-07-17T09:13:08Z	/home/ubuntu/pz/VectorDB/data/VectorDB/dynamic_vamana_atlas/formal/pilot3_sift10m_w1_cp05_trajectory_r10/OdinANN/trajectory-cp05-10/index
14130737152	2026-07-17T08:42:03Z	/home/ubuntu/pz/VectorDB/data/VectorDB/dynamic_vamana_atlas/formal/pilot3_sift10m_w1_cp05_trajectory_r10/DGAI/trajectory-cp05-10/index
14130737152	2026-07-17T15:20:23Z	/home/ubuntu/pz/VectorDB/data/VectorDB/dynamic_vamana_atlas/formal/pilot3_sift10m_write_attribution_m0/DGAI/m0-n100000-01/index
16960315392	2026-07-18T03:54:53Z	/home/ubuntu/pz/VectorDB/data/VectorDB/dynamic_vamana_atlas/formal/pilot3_sift10m_write_attribution_m1_scale_r01/OdinANN/m1-n200000-01/index
16960311296	2026-07-18T04:16:31Z	/home/ubuntu/pz/VectorDB/data/VectorDB/dynamic_vamana_atlas/formal/pilot3_sift10m_write_attribution_m1_scale_r01/OdinANN/m1-n400000-01/index
16960311296	2026-07-18T03:40:59Z	/home/ubuntu/pz/VectorDB/data/VectorDB/dynamic_vamana_atlas/formal/pilot3_sift10m_write_attribution_m1_scale_r01/OdinANN/m1-n50000-01/index
