phase,label,mode,repeat,L,queries,qps,run_wall_s,p50_us,p95_us,p99_us,mean_cpu_us,mean_io_us,mean_comparisons,mean_hops,mean_ios,mean_exact_nav_reads,ssd_bytes_per_query,nav_dram_bytes_per_query,touched_bytes_per_query,peak_rss_kib,process_elapsed
canary,exact,exact,1,100,200,83.622,2.39172,10776.5,16779.049999999996,18297.91999999999,6326.035,5043.6,12168.24,29.195,111.545,7139.88,456888.32,27417139.2,27874027.52,3778432,0:29.17
canary,exact,exact,1,200,200,50.4538,3.96402,18898.0,27784.85,30798.909999999996,11834.155,6999.195,21841.705,53.69,209.975,13439.4,860057.6,51607296.0,52467353.6,3778432,0:29.17
canary,exact,exact,1,400,200,28.705,6.96744,34301.0,37394.25,38646.9,21170.65,12075.675,40404.955,103.29,408.7,26157.8,1674035.2,100445952.0,102119987.2,3778432,0:29.17
canary,exact,exact,1,800,200,14.9645,13.365,66718.0,72031.95,73579.85999999999,40684.715,23387.215,75644.33,202.955,807.665,51691.56,3308195.84,198495590.39999998,201803786.23999998,3778432,0:29.17
