phase,label,mode,repeat,L,queries,qps,run_wall_s,p50_us,p95_us,p99_us,mean_cpu_us,mean_io_us,mean_comparisons,mean_hops,mean_ios,mean_exact_nav_reads,ssd_bytes_per_query,nav_dram_bytes_per_query,touched_bytes_per_query,peak_rss_kib,process_elapsed
canary,exact,exact,2,100,200,100.511,1.98983,9307.5,13792.799999999996,17557.74999999999,6828.495,2793.39,12168.24,29.195,111.545,7139.88,456888.32,27417139.2,27874027.52,3776640,0:32.15
canary,exact,exact,2,200,200,37.7777,5.29414,24216.0,42168.5,49279.78999999997,19317.0,6494.57,21841.705,53.69,209.975,13439.4,860057.6,51607296.0,52467353.6,3776640,0:32.15
canary,exact,exact,2,400,200,26.2156,7.62903,35688.0,58710.7,64806.31,23966.905,12776.555,40404.955,103.29,408.7,26157.8,1674035.2,100445952.0,102119987.2,3776640,0:32.15
canary,exact,exact,2,800,200,14.7621,13.5482,67374.0,75174.45,83154.50999999995,42004.11,23025.485,75644.33,202.955,807.665,51691.56,3308195.84,198495590.39999998,201803786.23999998,3776640,0:32.15
