phase,label,mode,repeat,L,queries,qps,run_wall_s,p50_us,p95_us,p99_us,mean_cpu_us,mean_io_us,mean_comparisons,mean_hops,mean_ios,mean_exact_nav_reads,ssd_bytes_per_query,nav_dram_bytes_per_query,touched_bytes_per_query,peak_rss_kib,process_elapsed
canary,pq32,pq,2,100,200,135.41,1.477,5690.0,10923.499999999998,11815.689999999999,1513.505,5172.58,12182.93,29.745,113.62,0.0,465387.52,0.0,465387.52,44800,0:18.49
canary,pq32,pq,2,200,200,93.3712,2.14199,10057.5,11468.2,11969.509999999997,2517.925,7072.36,21654.12,54.365,212.3,0.0,869580.8,0.0,869580.8,44800,0:18.49
canary,pq32,pq,2,400,200,44.2784,4.51688,19792.5,32755.099999999988,37706.53,5063.025,15393.83,39755.24,103.895,410.71,0.0,1682268.16,0.0,1682268.16,44800,0:18.49
canary,pq32,pq,2,800,200,20.1662,9.91757,41154.0,69991.5,72853.62,10160.75,35891.2,74231.955,203.465,809.46,0.0,3315548.16,0.0,3315548.16,44800,0:18.49
