phase,label,mode,repeat,L,queries,qps,run_wall_s,p50_us,p95_us,p99_us,mean_cpu_us,mean_io_us,mean_comparisons,mean_hops,mean_ios,mean_exact_nav_reads,ssd_bytes_per_query,nav_dram_bytes_per_query,touched_bytes_per_query,peak_rss_kib,process_elapsed
canary,pq64,pq,2,100,200,142.851,1.40006,6061.0,11287.849999999995,12507.72,2013.31,4316.53,12170.025,29.77,113.42,0.0,464568.32,0.0,464568.32,76160,0:19.72
canary,pq64,pq,2,200,200,82.1362,2.43498,11140.5,15363.999999999998,18443.169999999995,3602.38,7448.51,21617.01,54.195,211.73,0.0,867246.08,0.0,867246.08,76160,0:19.72
canary,pq64,pq,2,400,200,37.8075,5.28995,21964.0,39519.75,44408.30999999991,7514.005,16839.13,39798.99,103.815,410.455,0.0,1681223.68,0.0,1681223.68,76160,0:19.72
canary,pq64,pq,2,800,200,19.6489,10.1787,43008.5,76309.99999999999,80682.86999999998,14264.07,33141.695,74393.915,203.43,809.165,0.0,3314339.84,0.0,3314339.84,76160,0:19.72
