phase,label,mode,repeat,L,queries,qps,run_wall_s,p50_us,p95_us,p99_us,mean_cpu_us,mean_io_us,mean_comparisons,mean_hops,mean_ios,mean_exact_nav_reads,ssd_bytes_per_query,nav_dram_bytes_per_query,touched_bytes_per_query,peak_rss_kib,process_elapsed
canary,pq64,pq,1,100,200,149.711,1.33591,5995.0,10099.649999999996,12084.699999999999,1960.265,4053.31,12170.025,29.77,113.42,0.0,464568.32,0.0,464568.32,76160,0:17.52
canary,pq64,pq,1,200,200,83.8216,2.38602,11154.5,13254.849999999997,14785.309999999998,3621.37,7176.9,21617.01,54.195,211.73,0.0,867246.08,0.0,867246.08,76160,0:17.52
canary,pq64,pq,1,400,200,43.3168,4.61715,21694.5,24933.8,27930.539999999997,6881.305,14157.675,39798.99,103.815,410.455,0.0,1681223.68,0.0,1681223.68,76160,0:17.52
canary,pq64,pq,1,800,200,22.5177,8.88192,42417.0,49274.9,57831.60999999999,13543.195,27454.9,74393.915,203.43,809.165,0.0,3314339.84,0.0,3314339.84,76160,0:17.52
