phase,label,mode,repeat,L,queries,qps,run_wall_s,p50_us,p95_us,p99_us,mean_cpu_us,mean_io_us,mean_comparisons,mean_hops,mean_ios,mean_exact_nav_reads,ssd_bytes_per_query,nav_dram_bytes_per_query,touched_bytes_per_query,peak_rss_kib,process_elapsed
full,v2,pq,2,50,1000,137.925,7.25033,5768.0,7378.699999999999,8108.299999999999,958.629,4290.882,7521.503,18.011,65.689,0.0,269062.144,0.0,269062.144,51072,1:41.00
full,v2,pq,2,100,1000,105.937,9.43956,6570.5,11306.8,11930.47,1576.23,5669.258,12477.547,29.779,113.362,0.0,464330.752,0.0,464330.752,51072,1:41.00
full,v2,pq,2,200,1000,64.7061,15.4545,11381.0,20109.1,21172.82,2856.229,9918.161,22257.731,54.257,211.664,0.0,866975.744,0.0,866975.744,51072,1:41.00
full,v2,pq,2,400,1000,43.6072,22.932,19911.5,24166.449999999997,26911.999999999996,4916.609,14471.844,41006.141,103.836,410.334,0.0,1680728.064,0.0,1680728.064,51072,1:41.00
full,v2,pq,2,800,1000,22.0735,45.3031,39164.0,66889.79999999999,72880.83,9684.353,30359.909,76581.724,203.421,809.034,0.0,3313803.264,0.0,3313803.264,51072,1:41.00
