phase,label,mode,repeat,L,queries,qps,run_wall_s,p50_us,p95_us,p99_us,mean_cpu_us,mean_io_us,mean_comparisons,mean_hops,mean_ios,mean_exact_nav_reads,ssd_bytes_per_query,nav_dram_bytes_per_query,touched_bytes_per_query,peak_rss_kib,process_elapsed
full,v0,pq,1,50,1000,164.091,6.09416,2538.5,5438.25,6707.4299999999985,506.995,2166.712,7521.503,18.011,65.689,0.0,269062.144,0.0,269062.144,51072,1:46.06
full,v0,pq,1,100,1000,100.516,9.94866,5047.0,9279.4,11069.72,1208.081,3980.91,12477.547,29.779,113.362,0.0,464330.752,0.0,464330.752,51072,1:46.06
full,v0,pq,1,200,1000,53.0367,18.8549,11318.5,19378.3,20165.59,2839.443,9948.557,22257.731,54.257,211.664,0.0,866975.744,0.0,866975.744,51072,1:46.06
full,v0,pq,1,400,1000,38.8621,25.732,19298.0,23534.549999999996,26868.6,4863.694,13885.977,41006.141,103.836,410.334,0.0,1680728.064,0.0,1680728.064,51072,1:46.06
full,v0,pq,1,800,1000,22.223,44.9984,37772.0,43763.45,50093.11999999999,9432.172,26932.271,76581.727,203.421,809.034,0.0,3313803.264,0.0,3313803.264,51072,1:46.06
