phase,label,mode,repeat,L,queries,qps,run_wall_s,p50_us,p95_us,p99_us,mean_cpu_us,mean_io_us,mean_comparisons,mean_hops,mean_ios,mean_exact_nav_reads,ssd_bytes_per_query,nav_dram_bytes_per_query,touched_bytes_per_query,peak_rss_kib,process_elapsed
full,v1,pq,1,50,1000,131.15,7.62488,5392.5,7223.25,8025.29,905.094,3880.662,7521.503,18.011,65.689,0.0,269062.144,0.0,269062.144,51968,1:39.60
full,v1,pq,1,100,1000,98.1143,10.1922,6133.0,11441.2,12354.199999999999,1566.1,5530.149,12477.547,29.779,113.362,0.0,464330.752,0.0,464330.752,51968,1:39.60
full,v1,pq,1,200,1000,73.7416,13.5609,10259.5,12947.249999999996,15618.759999999998,2586.094,7432.567,22257.731,54.257,211.664,0.0,866975.744,0.0,866975.744,51968,1:39.60
full,v1,pq,1,400,1000,42.2929,23.6446,19752.5,23830.15,27053.09,4846.968,14316.169,41006.141,103.836,410.334,0.0,1680728.064,0.0,1680728.064,51968,1:39.60
full,v1,pq,1,800,1000,22.7166,44.0206,39246.5,46777.9,49606.35,9577.952,28286.87,76581.727,203.421,809.034,0.0,3313803.264,0.0,3313803.264,51968,1:39.60
