phase,label,mode,repeat,L,queries,qps,run_wall_s,p50_us,p95_us,p99_us,mean_cpu_us,mean_io_us,mean_comparisons,mean_hops,mean_ios,mean_exact_nav_reads,ssd_bytes_per_query,nav_dram_bytes_per_query,touched_bytes_per_query,peak_rss_kib,process_elapsed
full,v0,pq,2,50,1000,128.986,7.7528,3024.0,6756.25,7634.07,684.999,2996.456,7521.503,18.011,65.689,0.0,269062.144,0.0,269062.144,51072,1:57.60
full,v0,pq,2,100,1000,92.0509,10.8636,5196.5,11015.699999999999,11748.27,1292.004,4906.788,12477.547,29.779,113.362,0.0,464330.752,0.0,464330.752,51072,1:57.60
full,v0,pq,2,200,1000,54.5854,18.3199,10778.5,19821.35,20856.16,2750.573,9672.709,22257.731,54.257,211.664,0.0,866975.744,0.0,866975.744,51072,1:57.60
full,v0,pq,2,400,1000,32.8487,30.4426,20572.5,37106.549999999996,38934.22,5213.303,18314.004,41006.141,103.836,410.334,0.0,1680728.064,0.0,1680728.064,51072,1:57.60
full,v0,pq,2,800,1000,20.1035,49.7425,38927.5,68794.95,72928.0,9780.569,31316.925,76581.727,203.421,809.034,0.0,3313803.264,0.0,3313803.264,51072,1:57.60
