query_id,expanded_reads,unique_sectors,baseline_sector_rereads,bonus_exposures,unique_bonus_nodes,bonus_in_gt100,bonus_visited_later,bonus_in_final_topk,bonus_gt100_fraction,bonus_later_fraction,bonus_final_fraction,estimated_avoidable_reads,estimated_io_savings_fraction
191,107,107,0,428,428,0,0,0,0.0,0.0,0.0,0,0.0
192,106,106,0,424,424,0,0,0,0.0,0.0,0.0,0,0.0
193,107,107,0,428,428,0,0,0,0.0,0.0,0.0,0,0.0
194,106,106,0,424,424,0,0,0,0.0,0.0,0.0,0,0.0
195,107,107,0,428,428,0,0,0,0.0,0.0,0.0,0,0.0
196,105,105,0,420,420,0,0,0,0.0,0.0,0.0,0,0.0
197,106,105,1,423,420,1,1,0,0.002380952380952381,0.002380952380952381,0.0,1,0.009433962264150943
198,108,108,0,432,432,0,0,0,0.0,0.0,0.0,0,0.0
199,105,105,0,420,420,0,0,0,0.0,0.0,0.0,0,0.0
200,106,106,0,424,424,0,0,0,0.0,0.0,0.0,0,0.0
201,106,106,0,424,424,0,0,0,0.0,0.0,0.0,0,0.0
202,107,106,1,427,424,0,1,0,0.0,0.0023584905660377358,0.0,1,0.009345794392523364
203,106,106,0,424,424,0,0,0,0.0,0.0,0.0,0,0.0
204,106,106,0,424,424,0,0,0,0.0,0.0,0.0,0,0.0
205,107,107,0,428,428,0,0,0,0.0,0.0,0.0,0,0.0
206,110,110,0,440,440,0,0,0,0.0,0.0,0.0,0,0.0
207,107,107,0,428,428,0,0,0,0.0,0.0,0.0,0,0.0
208,109,109,0,436,436,0,0,0,0.0,0.0,0.0,0,0.0
209,109,108,1,435,432,1,1,0,0.0023148148148148147,0.0023148148148148147,0.0,1,0.009174311926605505
210,105,105,0,420,420,0,0,0,0.0,0.0,0.0,0,0.0
211,109,108,1,435,432,1,1,0,0.0023148148148148147,0.0023148148148148147,0.0,1,0.009174311926605505
212,107,107,0,428,428,0,0,0,0.0,0.0,0.0,0,0.0
213,105,105,0,420,420,0,0,0,0.0,0.0,0.0,0,0.0
214,105,104,1,419,416,0,1,0,0.0,0.002403846153846154,0.0,1,0.009523809523809525
215,105,105,0,420,420,0,0,0,0.0,0.0,0.0,0,0.0
216,105,105,0,420,420,0,0,0,0.0,0.0,0.0,0,0.0
217,105,105,0,420,420,0,0,0,0.0,0.0,0.0,0,0.0
218,105,105,0,420,420,0,0,0,0.0,0.0,0.0,0,0.0
219,107,107,0,428,428,0,0,0,0.0,0.0,0.0,0,0.0
220,106,106,0,424,424,0,0,0,0.0,0.0,0.0,0,0.0
221,105,104,1,419,416,1,1,0,0.002403846153846154,0.002403846153846154,0.0,1,0.009523809523809525
222,106,106,0,424,424,0,0,0,0.0,0.0,0.0,0,0.0
