L,bits_per_dimension,center,code_bytes,codebook_bytes,full_vector_resident_bytes,label,mean_comparisons,mean_comparisons_max,mean_comparisons_min,mean_comparisons_r1,mean_comparisons_r2,mean_comparisons_r3,mean_cpu_us,mean_cpu_us_max,mean_cpu_us_min,mean_cpu_us_r1,mean_cpu_us_r2,mean_cpu_us_r3,mean_exact_nav_reads,mean_exact_nav_reads_max,mean_exact_nav_reads_min,mean_exact_nav_reads_r1,mean_exact_nav_reads_r2,mean_exact_nav_reads_r3,mean_hops,mean_hops_max,mean_hops_min,mean_hops_r1,mean_hops_r2,mean_hops_r3,mean_io_us,mean_io_us_max,mean_io_us_min,mean_io_us_r1,mean_io_us_r2,mean_io_us_r3,mean_ios,mean_ios_max,mean_ios_min,mean_ios_r1,mean_ios_r2,mean_ios_r3,nav_dram_bytes_per_query,nav_dram_bytes_per_query_max,nav_dram_bytes_per_query_min,nav_dram_bytes_per_query_r1,nav_dram_bytes_per_query_r2,nav_dram_bytes_per_query_r3,p50_us,p50_us_max,p50_us_min,p50_us_r1,p50_us_r2,p50_us_r3,p95_us,p95_us_max,p95_us_min,p95_us_r1,p95_us_r2,p95_us_r3,p99_us,p99_us_max,p99_us_min,p99_us_r1,p99_us_r2,p99_us_r3,peak_rss_kib,peak_rss_kib_max,peak_rss_kib_min,peak_rss_kib_r1,peak_rss_kib_r2,peak_rss_kib_r3,pq_resident_bytes,qps,qps_max,qps_min,qps_r1,qps_r2,qps_r3,recall_at_10,repeats,representation_resident_bytes,rotation_matrix_bytes,ssd_bytes_per_query,ssd_bytes_per_query_max,ssd_bytes_per_query_min,ssd_bytes_per_query_r1,ssd_bytes_per_query_r2,ssd_bytes_per_query_r3,touched_bytes_per_query,touched_bytes_per_query_max,touched_bytes_per_query_min,touched_bytes_per_query_r1,touched_bytes_per_query_r2,touched_bytes_per_query_r3
50,0.26666666666666666,mean,32,991132,0.0,pq32,7512.106,7512.106,7512.106,7512.106,7512.106,,827.1125,844.102,810.123,810.123,844.102,,0.0,0.0,0.0,0.0,0.0,,18.136,18.136,18.136,18.136,18.136,,2637.678,2744.629,2530.727,2530.727,2744.629,,66.162,66.162,66.162,66.162,66.162,,0.0,0.0,0.0,0.0,0.0,,3256.75,3298.5,3215.0,3215.0,3298.5,,6126.85,6295.45,5958.25,5958.25,6295.45,,7086.279999999999,7108.1799999999985,7064.379999999999,7064.379999999999,7108.1799999999985,,47040.0,48384.0,45696.0,48384.0,45696.0,,32000008,253.144,261.584,244.704,261.584,244.704,,0.5441999999999999,2.0,32991140,0,270999.552,270999.552,270999.552,270999.552,270999.552,,270999.552,270999.552,270999.552,270999.552,270999.552,
100,0.26666666666666666,mean,32,991132,0.0,pq32,12409.11,12409.11,12409.11,12409.11,12409.11,,1400.3535000000002,1425.913,1374.794,1374.794,1425.913,,0.0,0.0,0.0,0.0,0.0,,29.957,29.957,29.957,29.957,29.957,,4084.4935,4302.393,3866.594,3866.594,4302.393,,113.927,113.927,113.927,113.927,113.927,,0.0,0.0,0.0,0.0,0.0,,5472.5,5499.0,5446.0,5446.0,5499.0,,8483.325,10176.4,6790.25,6790.25,10176.4,,9971.989999999998,11508.06,8435.919999999998,8435.919999999998,11508.06,,47040.0,48384.0,45696.0,48384.0,45696.0,,32000008,162.4205,169.015,155.826,169.015,155.826,,0.6695,2.0,32991140,0,466644.992,466644.992,466644.992,466644.992,466644.992,,466644.992,466644.992,466644.992,466644.992,466644.992,
200,0.26666666666666666,mean,32,991132,0.0,pq32,22046.311,22046.311,22046.311,22046.311,22046.311,,2664.276,2722.501,2606.051,2606.051,2722.501,,0.0,0.0,0.0,0.0,0.0,,54.451,54.451,54.451,54.451,54.451,,8229.622,9006.529,7452.715,7452.715,9006.529,,212.38,212.38,212.38,212.38,212.38,,0.0,0.0,0.0,0.0,0.0,,10345.75,10444.0,10247.5,10247.5,10444.0,,16329.625,19558.15,13101.099999999999,13101.099999999999,19558.15,,19233.53,20663.36,17803.7,17803.7,20663.36,,47040.0,48384.0,45696.0,48384.0,45696.0,,32000008,83.43625,89.2622,77.6103,89.2622,77.6103,,0.7921000000000001,2.0,32991140,0,869908.48,869908.48,869908.48,869908.48,869908.48,,869908.48,869908.48,869908.48,869908.48,869908.48,
400,0.26666666666666666,mean,32,991132,0.0,pq32,40476.732,40476.732,40476.732,40476.732,40476.732,,4960.4515,5069.278,4851.625,5069.278,4851.625,,0.0,0.0,0.0,0.0,0.0,,104.015,104.015,104.015,104.015,104.015,,16076.355500000001,16907.002,15245.709,16907.002,15245.709,,410.941,410.941,410.941,410.941,410.941,,0.0,0.0,0.0,0.0,0.0,,19695.0,19914.0,19476.0,19914.0,19476.0,,35125.0,36208.15,34041.85,36208.15,34041.85,,37714.41499999999,37968.78999999999,37460.04,37968.78999999999,37460.04,,47040.0,48384.0,45696.0,48384.0,45696.0,,32000008,43.3183,45.1223,41.5143,41.5143,45.1223,,0.8875000000000001,2.0,32991140,0,1683214.336,1683214.336,1683214.336,1683214.336,1683214.336,,1683214.336,1683214.336,1683214.336,1683214.336,1683214.336,
800,0.26666666666666666,mean,32,991132,0.0,pq32,75496.57,75496.57,75496.57,75496.57,75496.57,,10063.7555,10152.842,9974.669,9974.669,10152.842,,0.0,0.0,0.0,0.0,0.0,,203.614,203.614,203.614,203.614,203.614,,34643.803,35299.427,33988.179,33988.179,35299.427,,809.732,809.732,809.732,809.732,809.732,,0.0,0.0,0.0,0.0,0.0,,40139.5,40859.5,39419.5,39419.5,40859.5,,71366.04999999999,71690.65,71041.45,71041.45,71690.65,,75275.405,75444.81999999999,75105.99,75444.81999999999,75105.99,,47040.0,48384.0,45696.0,48384.0,45696.0,,32000008,20.62345,20.9456,20.3013,20.9456,20.3013,,0.9483,2.0,32991140,0,3316662.272,3316662.272,3316662.272,3316662.272,3316662.272,,3316662.272,3316662.272,3316662.272,3316662.272,3316662.272,
50,0.5333333333333333,mean,64,991260,0.0,pq64,7472.108,7472.108,7472.108,7472.108,7472.108,,1171.059,1182.388,1159.73,1159.73,1182.388,,0.0,0.0,0.0,0.0,0.0,,18.029,18.029,18.029,18.029,18.029,,2968.0060000000003,2977.916,2958.096,2977.916,2958.096,,65.748,65.748,65.748,65.748,65.748,,0.0,0.0,0.0,0.0,0.0,,3684.25,3709.5,3659.0,3659.0,3709.5,,6898.724999999999,6963.65,6833.799999999999,6963.65,6833.799999999999,,7679.699999999999,7696.379999999999,7663.019999999999,7663.019999999999,7696.379999999999,,79296.0,79744.0,78848.0,79744.0,78848.0,,64000008,215.727,215.976,215.478,215.976,215.478,,0.6938,2.0,64991268,0,269303.808,269303.808,269303.808,269303.808,269303.808,,269303.808,269303.808,269303.808,269303.808,269303.808,
100,0.5333333333333333,mean,64,991260,0.0,pq64,12401.511,12401.511,12401.511,12401.511,12401.511,,2085.7605000000003,2109.237,2062.284,2109.237,2062.284,,0.0,0.0,0.0,0.0,0.0,,29.872,29.872,29.872,29.872,29.872,,4647.9185,4827.789,4468.048,4827.789,4468.048,,113.726,113.726,113.726,113.726,113.726,,0.0,0.0,0.0,0.0,0.0,,6193.5,6250.0,6137.0,6250.0,6137.0,,11326.474999999999,11507.2,11145.749999999998,11507.2,11145.749999999998,,12102.22,12194.279999999999,12010.16,12194.279999999999,12010.16,,79296.0,79744.0,78848.0,79744.0,78848.0,,64000008,134.77249999999998,138.505,131.04,131.04,138.505,,0.8178000000000001,2.0,64991268,0,465821.696,465821.696,465821.696,465821.696,465821.696,,465821.696,465821.696,465821.696,465821.696,465821.696,
200,0.5333333333333333,mean,64,991260,0.0,pq64,22047.895,22047.895,22047.895,22047.895,22047.895,,3733.841,3750.221,3717.461,3750.221,3717.461,,0.0,0.0,0.0,0.0,0.0,,54.339,54.339,54.339,54.339,54.339,,8345.639500000001,8566.048,8125.231,8566.048,8125.231,,212.0,212.0,212.0,212.0,212.0,,0.0,0.0,0.0,0.0,0.0,,11310.25,11322.0,11298.5,11322.0,11298.5,,19792.025,20168.0,19416.05,20168.0,19416.05,,21003.785,21237.08,20770.489999999998,21237.08,20770.489999999998,,79296.0,79744.0,78848.0,79744.0,78848.0,,64000008,75.58265,76.9364,74.2289,74.2289,76.9364,,0.9105000000000001,2.0,64991268,0,868352.0,868352.0,868352.0,868352.0,868352.0,,868352.0,868352.0,868352.0,868352.0,868352.0,
400,0.5333333333333333,mean,64,991260,0.0,pq64,40561.57,40561.57,40561.57,40561.57,40561.57,,7203.405000000001,7421.011,6985.799,7421.011,6985.799,,0.0,0.0,0.0,0.0,0.0,,103.912,103.912,103.912,103.912,103.912,,17158.9245,18800.731,15517.118,18800.731,15517.118,,410.64,410.64,410.64,410.64,410.64,,0.0,0.0,0.0,0.0,0.0,,22043.25,22525.5,21561.0,22525.5,21561.0,,39227.5,40283.799999999996,38171.2,40283.799999999996,38171.2,,40946.56,42124.72,39768.4,42124.72,39768.4,,79296.0,79744.0,78848.0,79744.0,78848.0,,64000008,37.92115,40.6527,35.1896,35.1896,40.6527,,0.9682000000000001,2.0,64991268,0,1681981.44,1681981.44,1681981.44,1681981.44,1681981.44,,1681981.44,1681981.44,1681981.44,1681981.44,1681981.44,
800,0.5333333333333333,mean,64,991260,0.0,pq64,75712.277,75712.277,75712.277,75712.277,75712.277,,14348.1345,14989.765,13706.504,13706.504,14989.765,,0.0,0.0,0.0,0.0,0.0,,203.496,203.496,203.496,203.496,203.496,,35489.1925,40236.501,30741.884,30741.884,40236.501,,809.382,809.382,809.382,809.382,809.382,,0.0,0.0,0.0,0.0,0.0,,46867.5,51253.0,42482.0,42482.0,51253.0,,76260.75,78174.84999999999,74346.65,74346.65,78174.84999999999,,79294.495,80782.12,77806.87,77806.87,80782.12,,79296.0,79744.0,78848.0,79744.0,78848.0,,64000008,18.836550000000003,20.756,16.9171,20.756,16.9171,,0.9908,2.0,64991268,0,3315228.672,3315228.672,3315228.672,3315228.672,3315228.672,,3315228.672,3315228.672,3315228.672,3315228.672,3315228.672,
