phase,label,mode,repeat,L,queries,qps,run_wall_s,p50_us,p95_us,p99_us,mean_cpu_us,mean_io_us,mean_comparisons,mean_hops,mean_ios,mean_exact_nav_reads,ssd_bytes_per_query,nav_dram_bytes_per_query,touched_bytes_per_query,peak_rss_kib,process_elapsed
canary,opq32,pq,1,100,200,101.1,1.97824,5405.0,7663.499999999999,8359.919999999998,1220.42,4048.92,12255.67,29.535,112.765,0.0,461885.44,0.0,461885.44,48384,0:20.58
canary,opq32,pq,1,200,200,61.1267,3.27189,10379.0,14741.599999999995,16939.449999999983,2541.665,7861.615,21885.91,54.105,211.235,0.0,865218.56,0.0,865218.56,48384,0:20.58
canary,opq32,pq,1,400,200,37.986,5.2651,19481.5,25323.8,27774.70999999999,4776.355,14614.075,40315.77,103.595,409.835,0.0,1678684.16,0.0,1678684.16,48384,0:20.58
canary,opq32,pq,1,800,200,20.9216,9.55948,39572.0,53418.34999999988,69750.93,9623.3,29622.06,75410.775,203.315,808.65,0.0,3312230.4,0.0,3312230.4,48384,0:20.58
